"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars","0","+4.1","56% (9/16)"
"2",1,"Bijan Robinson",ATL,"RB1","5","4 out of 5 stars","0","+0.7","56% (9/16)"
"3",1,"Justin Jefferson",MIN,"WR2","6","2 out of 5 stars","+2","+0.7","50% (8/16)"
"4",1,"CeeDee Lamb",DAL,"WR3","10","2 out of 5 stars","+2","-0.4","46% (7/15)"
"5",2,"Jahmyr Gibbs",DET,"RB2","8","2 out of 5 stars","-1","+2.9","68% (11/16)"
"6",2,"Malik Nabers",NYG,"WR4","14","2 out of 5 stars","+4","+1.8","42% (6/14)"
"7",2,"Puka Nacua",LAR,"WR5","8","3 out of 5 stars","+2","+1.4","54% (6/11)"
"8",2,"Amon-Ra St. Brown",DET,"WR6","8","3 out of 5 stars","-1","+1.0","62% (10/16)"
"9",2,"Saquon Barkley",PHI,"RB3","9","3 out of 5 stars","-6","+3.8","50% (8/16)"
"10",2,"Nico Collins",HOU,"WR7","6","4 out of 5 stars","+4","+0.9","63% (7/11)"
"11",2,"Brian Thomas Jr.",JAC,"WR8","8","4 out of 5 stars","+4","+3.7","75% (12/16)"
"12",3,"Drake London",ATL,"WR9","5","3 out of 5 stars","+7","-0.3","56% (9/16)"
"13",3,"Christian McCaffrey",SF,"RB4","14","3 out of 5 stars","-5","-8.2","0% (0/4)"
"14",3,"De'Von Achane",MIA,"RB5","12","4 out of 5 stars","-1","-0.2","50% (8/16)"
"15",3,"Ashton Jeanty",LV,"RB6","8","2 out of 5 stars","-3","-","-"
"16",3,"A.J. Brown",PHI,"WR10","9","3 out of 5 stars","+1","+0.8","53% (7/13)"
"17",3,"Ladd McConkey",LAC,"WR11","12","3 out of 5 stars","+8","+2.0","53% (8/15)"
"18",3,"Brock Bowers",LV,"TE1","8","2 out of 5 stars","0","+1.4","56% (9/16)"
"19",3,"Jaxon Smith-Njigba",SEA,"WR12","8","3 out of 5 stars","+14","+1.6","50% (8/16)"
"20",4,"Trey McBride",ARI,"TE2","8","5 out of 5 stars","+6","+1.3","53% (8/15)"
"21",4,"Derrick Henry",BAL,"RB7","7","4 out of 5 stars","-10","+2.8","56% (9/16)"
"22",4,"Garrett Wilson",NYJ,"WR13","9","4 out of 5 stars","+13","+0.1","43% (7/16)"
"23",4,"Tyreek Hill",MIA,"WR14","12","3 out of 5 stars","+5","-2.1","31% (5/16)"
"24",4,"Josh Allen",BUF,"QB1","7","4 out of 5 stars","-1","+2.0","56% (9/16)"
"25",4,"Tee Higgins",CIN,"WR15","10","3 out of 5 stars","+5","+4.0","63% (7/11)"
"26",4,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars","-4","+3.6","75% (12/16)"
"27",4,"Chase Brown",CIN,"RB8","10","4 out of 5 stars","0","+2.3","62% (10/16)"
"28",4,"Bucky Irving",TB,"RB9","9","3 out of 5 stars","-7","+2.8","75% (12/16)"
"29",4,"Davante Adams",LAR,"WR16","8","3 out of 5 stars","+8","+1.3","46% (6/13)"
"30",4,"Josh Jacobs",GB,"RB10","5","4 out of 5 stars","-14","+1.9","50% (8/16)"
"31",5,"Mike Evans",TB,"WR17","9","3 out of 5 stars","+11","+1.5","46% (6/13)"
"32",5,"George Kittle",SF,"TE3","14","3 out of 5 stars","+7","+2.9","78% (11/14)"
"33",5,"Jonathan Taylor",IND,"RB11","11","2 out of 5 stars","-13","+1.3","46% (6/13)"
"34",5,"Jayden Daniels",WAS,"QB3","12","2 out of 5 stars","-5","+2.0","56% (9/16)"
"35",5,"Jalen Hurts",PHI,"QB4","9","3 out of 5 stars","+1","0.0","53% (8/15)"
"36",5,"Kyren Williams",LAR,"RB12","8","3 out of 5 stars","-12","-0.1","43% (7/16)"
"37",5,"Marvin Harrison Jr.",ARI,"WR18","8","4 out of 5 stars","+6","-1.6","37% (6/16)"
"38",5,"Terry McLaurin",WAS,"WR19","12","3 out of 5 stars","+2","+1.8","75% (12/16)"
"39",5,"DJ Moore",CHI,"WR20","5","2 out of 5 stars","+8","-0.2","31% (5/16)"
"40",5,"Breece Hall",NYJ,"RB13","9","5 out of 5 stars","-8","-2.6","26% (4/15)"
"41",5,"Alvin Kamara",NO,"RB14","11","4 out of 5 stars","-3","-0.1","35% (5/14)"
"42",5,"Kenneth Walker III",SEA,"RB15","8","3 out of 5 stars","-1","+0.2","36% (4/11)"
"43",5,"DK Metcalf",PIT,"WR21","5","4 out of 5 stars","+6","-1.7","28% (4/14)"
"44",5,"Joe Burrow",CIN,"QB5","10","2 out of 5 stars","-10","+3.9","68% (11/16)"
"45",5,"Courtland Sutton",DEN,"WR22","12","3 out of 5 stars","+7","+1.1","62% (10/16)"
"46",5,"James Cook",BUF,"RB16","7","4 out of 5 stars","-15","+2.1","60% (9/15)"
"47",5,"DeVonta Smith",PHI,"WR23","9","3 out of 5 stars","+8","+1.7","53% (7/13)"
"48",6,"Omarion Hampton",LAC,"RB17","12","2 out of 5 stars","-4","-","-"
"49",6,"Zay Flowers",BAL,"WR24","7","3 out of 5 stars","+11","-1.4","37% (6/16)"
"50",6,"Chuba Hubbard",CAR,"RB18","14","3 out of 5 stars","-5","+2.1","53% (8/15)"
"51",6,"Rashee Rice",KC,"WR25","10","3 out of 5 stars","-3","-0.7","75% (3/4)"
